id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
268,639,WhiteCoin,XWC,whitecoin,1,2014-04-18T12:10:00.000Z,2024-02-05T20:45:00.000Z,
276,7504,Bitstar,BITS,bitstar,1,2014-04-23T12:00:00.000Z,2024-02-05T20:50:00.000Z,
278,7505,Quebecoin,QBC,quebecoin,1,2014-04-23T12:00:00.000Z,2024-02-05T20:50:00.000Z,
290,7506,BlueCoin,BLU,bluecoin,1,2014-04-28T03:20:00.000Z,2024-02-05T20:50:00.000Z,
291,6678,MaidSafeCoin,MAID,maidsafecoin,1,2014-04-28T03:20:00.000Z,2024-02-05T20:50:00.000Z,
293,1752,Bitcoin Plus,XBC,bitcoin-plus,1,2014-05-04T01:30:00.000Z,2024-02-05T20:45:00.000Z,
298,1861,NewYorkCoin,NYC,newyorkcoin,1,2014-05-06T12:15:00.000Z,2024-02-05T20:45:00.000Z,
313,7507,Pinkcoin,PINK,pinkcoin,1,2014-05-11T17:05:00.000Z,2024-02-05T20:50:00.000Z,
316,7508,Dreamcoin,DRM,dreamcoin,1,2014-05-13T04:00:00.000Z,2024-02-05T20:50:00.000Z,
328,27,Monero,XMR,monero,1,2014-05-21T01:40:00.000Z,2024-02-05T20:45:00.000Z,
333,7419,Curecoin,CURE,curecoin,1,2014-05-26T18:10:00.000Z,2024-02-05T20:45:00.000Z,
360,7509,Motocoin,MOTO,motocoin,1,2014-06-03T12:45:00.000Z,2024-02-05T20:45:00.000Z,
362,1500,CloakCoin,CLOAK,cloakcoin,1,2014-06-07T00:05:00.000Z,2024-02-05T20:45:00.000Z,
366,2262,BitSend,BSD,bitsend,1,2014-06-08T14:20:00.000Z,2024-02-05T20:50:00.000Z,
367,7510,Coin2.1,C2,coin2-1,1,2014-06-08T14:20:00.000Z,2024-02-05T20:50:00.000Z,
372,1075,Bytecoin,BCN,bytecoin-bcn,1,2014-06-17T13:00:00.000Z,2024-02-05T20:45:00.000Z,
377,4070,Navcoin,NAV,nav-coin,1,2014-06-12T11:40:00.000Z,2024-02-05T20:50:00.000Z,
389,7511,Startcoin,START,startcoin,1,2014-06-15T14:55:00.000Z,2024-02-05T20:45:00.000Z,
405,6858,DigitalNote,XDN,digitalnote,1,2014-06-24T12:55:00.000Z,2024-02-05T20:45:00.000Z,
416,1955,HempCoin,THC,hempcoin,1,2014-06-28T16:30:00.000Z,2024-02-05T20:45:00.000Z,
448,7512,Stealth,XST,stealth,1,2022-09-30T12:40:00.000Z,2024-02-05T20:45:00.000Z,
460,7513,Clams,CLAM,clams,1,2014-08-26T02:30:00.000Z,2024-02-05T20:50:00.000Z,
463,932,BitShares,BTS,bitshares,1,2014-07-21T03:40:00.000Z,2024-02-05T20:50:00.000Z,
470,7514,Viacoin,VIA,viacoin,1,2014-07-18T12:20:00.000Z,2024-02-05T20:45:00.000Z,
501,7515,Cryptonite,XCN,cryptonite,1,2014-08-02T21:15:00.000Z,2024-02-05T20:45:00.000Z,
502,7516,Carboncoin,CARBON,carboncoin,1,2014-08-02T21:15:00.000Z,2024-02-05T20:50:00.000Z,
506,7517,CannabisCoin,CANN,cannabiscoin,1,2014-08-02T22:00:00.000Z,2024-02-05T20:45:00.000Z,
512,25,Stellar,XLM,stellar,1,2014-08-05T05:40:00.000Z,2024-02-05T20:45:00.000Z,
541,384,Syscoin,SYS,syscoin,1,2014-08-20T11:00:00.000Z,2024-02-05T20:50:00.000Z,
551,2274,Donu,DONU,donu,1,2014-08-26T02:30:00.000Z,2024-02-05T20:45:00.000Z,
558,7518,Emercoin,EMC,emercoin,1,2014-08-23T21:20:00.000Z,2024-02-05T20:45:00.000Z,
572,7519,RabbitCoin,RBBT,rabbitcoin,1,2014-08-30T22:20:00.000Z,2024-02-05T20:45:00.000Z,
576,1431,GameCredits,GAME,gamecredits,1,2014-09-01T16:50:00.000Z,2024-02-05T20:45:00.000Z,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x63f88a2298a5c4aee3c216aa6d926b184a4b2437'}"
584,2152,NativeCoin,N8V,native-coin,1,2014-09-06T15:50:00.000Z,2024-02-05T20:45:00.000Z,
597,7520,Opal,OPAL,opal,1,2014-09-13T17:10:00.000Z,2024-02-05T20:45:00.000Z,
601,2240,Acoin,ACOIN,acoin,1,2014-09-13T19:40:00.000Z,2024-02-05T20:45:00.000Z,
624,7521,bitCNY,BITCNY,bitcny,1,2014-09-23T04:20:00.000Z,2024-02-05T20:45:00.000Z,
638,1885,Trollcoin,TROLL,trollcoin,1,2014-09-30T07:50:00.000Z,2024-02-05T20:45:00.000Z,
644,6102,GlobalBoost,BSTY,globalboost-y,1,2014-10-03T12:35:00.000Z,2024-02-05T20:45:00.000Z,
656,7522,Prime-XI,PXI,prime-xi,1,2014-10-04T20:50:00.000Z,2024-02-05T20:45:00.000Z,
659,1651,Bitswift,BITS,bitswift,1,2014-10-05T17:40:00.000Z,2024-02-05T20:50:00.000Z,
693,507,Verge,XVG,verge,1,2014-10-25T22:10:00.000Z,2024-02-05T20:50:00.000Z,
702,7199,SpreadCoin,SPR,spreadcoin,1,2014-10-26T23:20:00.000Z,2024-02-05T20:50:00.000Z,
703,7523,Rimbit,RBT,rimbit,1,2014-10-26T23:20:00.000Z,2024-02-05T20:50:00.000Z,
707,7524,Blocknet,BLOCK,blocknet,1,2014-11-01T21:15:00.000Z,2024-02-05T20:50:00.000Z,
720,7525,Crown,CRW,crown,1,2014-11-08T22:50:00.000Z,2024-02-05T20:50:00.000Z,
730,7526,GCN Coin,GCN,gcn-coin,1,2014-11-16T23:50:00.000Z,2024-02-05T20:45:00.000Z,
